category,question,answer
In-Game goods,"How to activate the visibility of special content (ARP ships, Transformers, etc.)","If you can't find some special ships such as Arpeggio, please check if they are set to be displayed:

Open the ""Additional Content"" filter by clicking the cogwheels icon located in the lower-right corner of the Port (just above the ship carousel).
Check if there is a green eye mark on the right side of Arpeggio or other special ships.
If the eye symbol is white and crossed, those ships or their unique camouflages won't be displayed. In battle, they will be replaced by standard versions of the ships with standard permanent camouflages. 

If this does not fix your problem, please contact Player Support to resolve the issue."
In-Game goods,About: Compensation Policy (in-game),"The World of Warships Team may decide to provide compensation if a server issue or an Unplanned/Extended server downtime lasts for at least four (4) hours more than expected (for scheduled server downtime or updates).

If compensation is approved, it will be automatically credited to all affected accounts.

Information about the compensation* will be provided on the Portal or by email.

*E.g., automatic delivery, manual claim via the Portal, special in-game mission.

The value of the compensation depends on the type of issue and length of the outage. This is decided on a case-by-case basis."
In-Game goods,Can I move Doubloons/Ships from one account to another?,"No, you cannot transfer any virtual assets between accounts..

If you would like to gift a ship to a fellow player, you can visit the Wargaming.net Premium Shop."
In-Game goods,About: Restoration Policy (in-game),"Premium Ships
Premium ships can be restored using the Recovery Tool.

Commanders
You may have dismissed one of your Commanders by mistake. We can offer you a way to have this Commander restored.

You can restore an unlimited number of commanders once every three (3) months, provided that the amount of Elite Commander XP gained with the dismissal is available on the account. As part of the restoration process, this amount of Elite Commander XP will be removed from the account and the resources (doubloons or credits) spent to acquire the XP during dismissal will be returned to the account.

Unique and Special upgrades
Player Support can restore any sold or destroyed unique or special upgrades.

Conditions

Any number of unique upgrades once a month.
Any number of special upgrades once a month.
48h action reversals
Player Support may be able to reverse some in-game actions.

Conditions
You contacted Player Support within 48 hours of the action. 
The action must be listed on the Reversible Action List, as seen below.
Purchased goods must not be used or sold.
Reversible Action List
Sell in-game goods for credits.
Buy the wrong amount of Premium Time during an event.
Convert the wrong amount of XP to Free XP for doubloons.
Buy the wrong containers in the Armory"
Vehicle restoration tool,VRT - Premium Ships Restoration,"The Vehicle Restoration Tool (VRT) allows players to restore all Premium ships that have been previously sold.

FOLLOW THIS LINK (https://na.wargaming.net/support/en/products/wows/help/31417/31418/) to submit a VRT ticket.

VRT can only process one (1) restoration request at a time. VRT only allows one (1) successful restoration every 30 days.
It takes up to 24 hours for a sold Premium ship to become available for restoration in the Vehicle Restoration Tool.
If a Premium ship is present in your Port, the Vehicle Restoration Tool will not work for this ship.
Vehicle restoration requests submitted via the ticket center will be answered by an automated system.
Ensure that you have at least one vacant slot and enough credits (see below).
Conditions
VRT can only process one (1) restoration request at a time. VRT only allows one (1) successful restoration every 30 days.
The buyback restoration cost in credits is equal to the selling value plus a 10% fee. You can find additional information HERE.
Premium ship restorations are unlimited.
All Premium ships will be restored without consumables, camouflages, flags, signals, or Commanders.
Each Premium ship restoration requires one (1) vacant slot."
Vehicle restoration tool,VRT – Restoration Cost Table,"Premium ships can be restored using the Recovery Tool.

The buyback restoration cost in credits is equal to the selling value plus a 10% fee.

All prices are indicative. Discounts and promotions may apply.
Some ships such as, but not limited to, Friesland, Nelson, Alaska, or Azuma, are sold for 0 credits and therefore cannot be restored through the VRT.
Some ships such as, but not limited to, Musashi, Missouri, Flint, Alabama ST, Black, Kronshtadt, or Neustrashimy, cannot be sold and therefore cannot be restored through the VRT.
Some ships cannot be played on specific servers, and therefore cannot be restored through the VRT on said servers.

LINK TO THE TABLE (https://na.wargaming.net/support/en/products/wows/article/27197/)

"
General Questions,Changes and Improvements in Update 13.3,"We've fixed the displayed information for the range before a torpedo can inflict maximum damage in the torpedo tooltip, as well as displayed damage numbers in the tooltip for fire and flooding.
Fixed an issue with the firing angles of Sicilia's rear turrets. Improved the minimal vertical angle that her guns need to reach to be able to fire. Now, the ship can better shoot at targets that are closer to her.
Fixed an issue where it was impossible to sell camouflages of the Awarded category.
Fixed an issue where it was impossible to sell rare and unique economic bonuses.
Fixed textures and geometry for the New Year permanent camouflages for Atlântico, Yumihari, Adatara, and Shimanto, as well as for ships Kaga B and Vermont.
Fixed the German text on German Cruiser Premium containers.
Fixed an issue that caused the terrain hit indicator to appear while aiming at a ship in front of an island.
Fixed an issue that caused the game client to crash in some situations after a GPU reset.
Improved performance of the Ship Information window in the Port.
Updated the Patrol Fighter UI icon and description for Béarn.
Updated Combat Instructions progress sound effects.
Fixed issues with camera angles when viewing Druid.
Made minor improvements to the Clan UI.
Revised account leveling texts in Russian and English.
Fixed minor UI issues in the Tech Tree."
General Questions,"How to record, turn off, or watch a replay","Replays are recorded in the game by default. The system stores replays of only the last 30 fought battles in order to save hard drive space. Replay files have the .wowsreplay extension, and they are stored in the ""Replays"" folder located in the root folder that contains the game client."
General Questions,How to turn replay recording off,"You can choose to turn replay recording on or off. To do so, you need to make changes to the engine_config.xml file. Follow these steps:

 

Close the game client.
Save a reserve copy of the engine_config.xml file that can be found in the World_of_Warships\bin\#######\res folder.
Open the engine_config.xml file in a text editor.
Find the </replays> string. The string is usually at the end of the file.
To turn replay recording off, you need to add the following string before it:
<isReplayEnabled>false</isReplayEnabled>


Save the changes in the file and run the game.
Replays will be saved in the ..\replays\ folder that will automatically be created in the game folder."
General Questions,How to turn replay recording back on,"You can choose to turn replay recording on or off. To do so, you need to make changes to the engine_config.xml file. Follow these steps:

 

Close the game client.
Save a reserve copy of the engine_config.xml file that can be found in the World_of_Warships\bin\#######\res folder.
Open the engine_config.xml file in a text editor.
Find the </replays> string. The string is usually at the end of the file.
To turn replay recording on, you need to add the following string before it:
<isReplayEnabled>true</isReplayEnabled>


Save the changes in the file and run the game.
Replays will be saved in the ..\replays\ folder that will automatically be created in the game folder."
General Questions,How to watch replays,"Left-click any replay file twice.
A dialog window will appear. Check the box for ""Always use this app to open .wowsreplay files,"" then click ""More apps.""
In the next window, scroll down and click ""Look for another app on this PC.""
Specify a path to the WorldOfWarships.exe file that can be found in the root folder where the game client is installed. For example: D:\World_of_Warships. Choose the file and click ""Open."""
General Questions,How to control replays while watching them,"To control the playback of a replay, you can use the following keys and their combinations:

1. Replay interface
Ctrl + J — show / hide the interface
2. Playback control
End — play/pause
Home — set playback speed х1 (it doesn't unpause a replay)
Insert — increase playback speed
Delete — decrease playback speed
> — fast forward for 20 seconds
< — rewind for 20 seconds
Ctrl + > — fast forward х2
Ctrl + < — rewind х2
3. Camera control
С — camera control focus on / off
Ctrl + Shift + Backspace — switch to the free camera mode (after switching, you might still need to free the focus by left-clicking)
←, →, ↑, ↓ — movement of the camera parallel to the water's surface
Num9 — camera up
Num7 — camera down
Mouse wheel — zoom in/out
B — follow the ship in front of you in the free camera mode (absolute, including mutual rotation with the ship)
Ctrl + B — focus on the position of the ship in front of you in the free camera mode
1–9 — switch between free camera modes
Shift + 1–9 — switch between additional free camera modes
Num4, Num6 — camera turn
Num2, Num8 — camera angle
Num1 — camera movement to a point of interest
Num3 — camera movement from a point of interest
Num + / Num – — speed up / slow down camera movement
Shift + (Num+/ Num–) — increase/decrease camera movement acceleration and deceleration
Shift + Mouse wheel — increase/decrease radius of the free camera sphere (the sphere around the real camera position The real position becomes a point of interest)
4. Snapshots and their control
The snapshot function allows you to save snapshots and camera positions, as well as restore them if needed.

Snapshot controls:

F5 — create a snapshot
F6 — load the closest snapshot before the current replay time
F7 — load the closest snapshot after the current replay time
F8 — load the last saved snapshot
When using snapshots, the following are restored:

Camera position
Camera scaling (zoom in)
Replay time
After loading a snapshot, the replay is paused."
General Questions,How Do I Record a Video in the Game?,"You can record in-game video in a few different ways like GeForce ShadowPlay, AMD Radeon ReLive, or other programs."
General Questions,Video Recording With GeForce ShadowPlay,"Capturing video using the GeForce Experience application is available for desktop PCs with GeForce 600 series or higher, or on laptops with the GTX 660M, 670MX, 675MX, 680M, 700M graphics card series or higher.

Your computer must have at least 4 GB of RAM.

Windows 10 users need to install the nVidia Graphics Driver 387.92 or later.

Check your current graphics card driver and, if necessary, install the latest version according to these instructions (https://na.wargaming.net/support/en/products/wows/article/10582/).
During the installation of the nVidia Graphics Driver, a dialog box will appear prompting you to additionally install GeForce Experience. Agree with the installation.
After updating the driver, restart your PC.

To use GeForce ShadowPlay:
Press Alt+Z. The quick access panel will open.
Manually select a folder to save your videos to. Otherwise, they will be saved on the system drive and may take up a lot of space. To do this, click the gear icon in the quick access panel, then click the Records item in the menu that opens.
Select and specify the folders that you want to use as storage for temporary files and recorded videos.
To start recording a video, press Alt+F9 during the game. To stop recording, press Alt+F9 again. After that, the video file will be automatically saved in the folder that you specified in the GeForce Experience settings."
General Questions,Video Recording With AMD Radeon ReLive,"Capturing video using Radeon ReLive technology is available starting with the Radeon Software Crimson ReLive Edition 16.12.1 driver.

Check your current graphics card driver and, if necessary, install the latest version according to these instructions (https://ru.wargaming.net/support/ru/products/wot/article/15192/?_gl=1*6tul1*_gcl_au*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*FPAU*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*_ga*MTIzMTg5NDA3Ny4xNzA3NDI0NTA4*_ga_BWRKLL4HR5*MTcxNDUwMjg0Ny4xNC4xLjE3MTQ1MTM3ODYuMC4wLjMzNTQ0NjM4NA..*_fplc*cWphQXRsWVVPaFBialE2QU1CTlZHQzlpdG0lMkJwSXhSRWRmN2l4VWhKRVJBbGZuZWNtR2dBTzFrVzUlMkZHNE5XalFYZEFDNXZTdWc2TlJ0WDd5ZVVwbXdtQ1Bja05UaURBZ2JyakxncDQlMkZGUXhDdUhaU0xjWG5OVWZwNFU4Q1h3JTNEJTNE&_ga=2.113582535.1366991284.1714502847-1231894077.1707424508).
During the Radeon Software installation, a dialog box prompting you to install Radeon ReLive will appear. Agree with the installation.
After updating the driver, restart your PC.

To use Radeon ReLive:
Right-click anywhere on the desktop. Select AMD Radeon Settings in the menu that appears.
In the window that opens, go to the ReLive tab.
Activate Radeon ReLive technology.
After activating Radeon ReLive, you will have access to additional settings related to the technology, such as Record Desktop (the ability to capture your Windows desktop) and Save Folder.
Select Save Folder. We recommend selecting a folder for saving videos manually. Otherwise, they will be saved on the system drive and may take up a lot of space.
To start recording a video, press Ctrl+Shift+R during your game. To stop recording, press Ctrl+Shift+R again. After that, the video file will be automatically saved in the folder that you specified in the Radeon ReLive settings."
General Questions,Video Recording With Other Programs,"Windows 10 users can use the built-in Xbox DVR application for recording. To start or stop video recording, press Win+Alt+R.

You can also use third-party programs like these:

OBS Studio (free)
Fraps (free)
Bandicam (free trial period)
But you can also use any other program that works for you."
General Questions,What will change in future updates?,"Our games are frequently updated with new features, and we understand that it's exciting to know what's coming next!

Information about future updates is available through our official channels:
Follow our social media channels and regularly check our official website (https://worldofwarships.com/?_gl=1*1nn9sgz*_gcl_au*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*FPAU*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*_ga*MTIzMTg5NDA3Ny4xNzA3NDI0NTA4*_ga_BWRKLL4HR5*MTcxNDUwMjg0Ny4xNC4xLjE3MTQ1MTQwNDcuMC4wLjMzNTQ0NjM4NA..*_fplc*cWphQXRsWVVPaFBialE2QU1CTlZHQzlpdG0lMkJwSXhSRWRmN2l4VWhKRVJBbGZuZWNtR2dBTzFrVzUlMkZHNE5XalFYZEFDNXZTdWc2TlJ0WDd5ZVVwbXdtQ1Bja05UaURBZ2JyakxncDQlMkZGUXhDdUhaU0xjWG5OVWZwNFU4Q1h3JTNEJTNE) to keep up to date with the latest news.
Our Development Blog (https://blog.worldofwarships.com/?_gl=1*kvxz4f*_gcl_au*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*FPAU*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*_ga*MTIzMTg5NDA3Ny4xNzA3NDI0NTA4*_ga_BWRKLL4HR5*MTcxNDUwMjg0Ny4xNC4xLjE3MTQ1MTM5MzEuMC4wLjMzNTQ0NjM4NA..*_fplc*cWphQXRsWVVPaFBialE2QU1CTlZHQzlpdG0lMkJwSXhSRWRmN2l4VWhKRVJBbGZuZWNtR2dBTzFrVzUlMkZHNE5XalFYZEFDNXZTdWc2TlJ0WDd5ZVVwbXdtQ1Bja05UaURBZ2JyakxncDQlMkZGUXhDdUhaU0xjWG5OVWZwNFU4Q1h3JTNEJTNE) is also a great source of information regarding future updates! 
Customer Support cannot disclose information about future updates."
Mechanics,All about consumables,"Consumables are used in battle to boost the characteristics of your ship or to enable extra features for a certain period of time.

In most cases, the number of consumable ""charges"" is limited, but some types can be activated an unlimited number of times throughout the entire battle; you only need to wait for them to cool down before you can use them again.

General Information
You can view ship consumables in the ""Equipment"" tab. After each battle, any used consumable charges will be automatically resupplied for free.

equip.jpg
Each ship type has their own set of consumables. In certain cases, the list of consumables may change depending on the hull that you install.

After each battle, any used consumable charges are automatically resupplied free of charge.

The consumable cooldown timer countdown begins after the consumable duration ends rather than at the moment of its activation.

The consumable cooldown time can be reduced by 5% with the help of the November Foxtrot signal and by 10% with the help of Consumables Specialist skill.

The number of uses can be increased by one (except for aircraft carrier squadrons) ""charge"" by mastering the Superintendent skill, as well as with the help of a special talent that some unique Commanders have.

The active duration of consumables can be increased by using a range of standard or special upgrades, as well as with the help of Commander skills.

The unique upgrades of some Tier X ships can affect the characteristics of certain consumables.

To learn more about consumables, please follow this link: https://worldofwarships.com/en/content/education/enhancements/"
Mechanics,"How Do You Earn and Spend Credits, Doubloons, and XP?","We're going to tell you how you can earn XP and Credits in battle, and why Credits and Doubloons can be deducted after each battle. By using this information to your advantage, you can earn more XP and Credits at the end of every battle, and you can also make yourself even more useful to your team and increase your chances of winning.

To learn more about how you can earn and spend Credits, Doubloons, and XP, please follow the link: https://worldofwarships.com/en/content/education/in-game_economy/"
Mechanics,How do I earn XP and Credits?,"Active participation in the battle increases your earnings. This includes:

Capturing and defending Key Areas.
Total damage to ships and destroyed ships.
Total damage to aircraft and destroyed aircraft.
Potential damage.
Detection of enemy ships, aircraft, and torpedoes.
Damage upon your spotting.
General contribution to the battle.
Capturing and defending Key Areas
The more points you earn when capturing a Key Area, the greater the reward you will receive.

The reward is guaranteed if you defend your Key Area. The more points you block while the enemy is capturing the Key Area, the more XP and Credits you will receive at the end of the battle.

Credits and XP for defending a Key Area are awarded in any case, regardless of the outcome of the battle and the way you won or lost (destroying all enemy ships or capturing the Key Area).

Total damage to ships and destroyed ships
Total damage to ships and the number of destroyed ships are tracked statistics that contribute to your earnings.

The rewards for damage are determined by the percentage of the target ship's hit points removed, not the amount of raw damage dealt. Removing 20% of a destroyer's HP will generate the same base earnings as removing 20% of a same-tier battleship's HP.

This rule is implemented because different ship types and ships in the game have different HP pool sizes. The more damage you deal to enemy ships, the more XP and Credits you get at the end of the battle.

No XP or Credits are awarded for damage dealt to ship modules or for critical module damage.

Tier VIII and X aircraft carriers differ from other ship types: Tier VIII and X carriers earn more XP for dealing damage (about 5% more for Tier VIII and 15% for Tier X) and less for winning battles. This means that carrier players who perform well but lose a battle are less likely to appear at the bottom of their team score list.

Total damage to aircraft and destroyed aircraft
The economic reward for destroying aircraft is distributed in the same way as the reward for damage to ships and destroyed ships. Credits and XP are awarded not only for destroyed aircraft but also for damage dealt to aircraft. The aircraft type (attack aircraft, torpedo bomber, or bomber) does not matter. However, if you destroy an enemy aircraft while playing an aircraft carrier, you earn more XP and Credits.

Potential damage
Potential damage is the sum of the maximum damage of all shells, bombs, torpedoes, etc. that hit a ship or pass within 700 m of it.

The higher your ship tier, the higher the base earnings you receive for the battle. However, the cost of servicing your ship (ammunition resupply and damage repair) also increases.

When the battle is over, all of your actions in the battle determine the sums of XP and Credits you earn. 

If your team wins, you will receive more XP than if you lose."
Mechanics,Why are Credits (Doubloons) deducted after a battle?,"Credits are deducted after each battle to service your ship. (https://wiki.wargaming.net/en/Ship:The_Economics_of_Battle?_gl=1*17k96yr*_gcl_au*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*FPAU*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*_ga*MTIzMTg5NDA3Ny4xNzA3NDI0NTA4*_ga_BWRKLL4HR5*MTcxNDUwMjg0Ny4xNC4xLjE3MTQ1MTQyNDQuNTguMC4zMjc0MTE5MDI.*_fplc*cWphQXRsWVVPaFBialE2QU1CTlZHQzlpdG0lMkJwSXhSRWRmN2l4VWhKRVJBbGZuZWNtR2dBTzFrVzUlMkZHNE5XalFYZEFDNXZTdWc2TlJ0WDd5ZVVwbXdtQ1Bja05UaURBZ2JyakxncDQlMkZGUXhDdUhaU0xjWG5OVWZwNFU4Q1h3JTNEJTNE&_ga=2.38094563.1366991284.1714502847-1231894077.1707424508) If you do not earn enough Credits to cover this in a battle, they are deducted from your account balance. Operating costs include:

Ammunition resupply
Credits are deducted for spent:

Main battery shells
Torpedoes
Aircraft ammunition
Depth Charge Airstrike and Depth Charges armament uses
Service cost
The service cost is a flat fee that depends on the tier, type, and Premium status of the ship.

Camouflage
If a camouflage is mounted and the automatic resupply option is on, its cost will be deducted from the account.

Additional information
Different types of battles have different profitability. For instance, players will earn fewer Credits in Co-op Battles than in Random Battles. As for Operations, the sum of earned Credits depends on the number of earned Stars, as well as on the individual results of each player. More Credits can be earned when you deal damage to higher-tier ships."
Mechanics,How Does the Matchmaker Select Teams?,"The matchmaker forms teams in two stages:

A combat group is formed taking into account the applicable limits (see below) and battle-tier settings for each ship.
From the ships selected for the combat group, a team is formed based on the principle of the maximum equality of the sums of the ships' balance weights.
The balance weight is a characteristic of a ship that takes into account the ship power as part of a team and does not reflect the actual power balance between two specific ships.

When matching teams, the matchmaker tends to evenly distribute ships in terms of nations."
Mechanics,How Does the Matchmaker Determine the Battle Tier for a Ship?,"The maximum battle tier that all Tier I–IV ships can get put into is calculated according to the following formula: Ship tier + 1.
The maximum battle tier that all other ships can get put into is calculated according to the following formula: Ship tier + 2.
There can be up to three aircraft carriers in each team in battle.
The battle tier is equal to the tier of the highest-tier ship in a combat group."
Mechanics,Limits for Matching Teams,"The following limits are set for matching teams:

The maximum number of players in battle is 24.
The maximum number of aircraft carriers in battle is 2–6.
The number of top-tier ships and battleships of tiers lower than the battle tier in both teams should be the same.
Aircraft carriers in both teams should be of the same tier.
The numbers of destroyers and battleships can differ by 1.
The number of cruisers can differ by 2."
Mechanics,Player Queue,"In Random Battles, when players click the ""Battle!"" button, they enter the list of players not yet assigned to a battle, which is continuously processed by the matchmaker. When the list of unassigned players is processed, players' waiting times are taken into account—those who have waited longer get processed first.

If there are no suitable battles for the player in terms of their tier or ship type (for example, the player has selected an aircraft carrier and the limit for this ship type has already been reached in all battles suitable for their tier), a new battle gets created for this player."
Mechanics,Waiting Time,"If waiting time is too long, a battle can start with an incomplete lineup (10х10, 11х11, etc.), but the limits in terms of ship types and numbers are maintained (see above)."
Mechanics,Superships,"Access to Superships
Superships are positioned just after Tier X ships in the Tech Tree. These special ships have mechanics that are entirely new for our game, which makes for a noticeable qualitative jump from Tier X ships. To purchase a specific supership, you must also research the Tier X ship of the corresponding branch. It's not necessary to research superships.

The cost of purchasing superships depends on their type:

Super battleships: 57 million Credits.
Super carriers: 48 million Credits.
Super cruisers: 47.5 million Credits.
Super destroyers: 45 million Credits.
Supership Economics
Superships yield Credits at the level of Tier X ships.
The cost of servicing superships is 360,000 Credits.
Permanent camouflages for superships are purchased separately from the ships, just like for other researchable ships from the Tech Tree.
Permanent camouflages for superships do not reduce their service cost or increase their Credit earnings."
Mechanics,Alternative Fire Mode: Burst Fire,"Each turret has one additional firing mode that is activated by pressing the F key. After switching to this mode, each separate turret can automatically deliver several consecutive salvos in rapid succession. After firing, the guns take a long time to reload.

Depending on the ship, activating this mode can change the characteristics of guns and shells.

You can switch back to the standard firing mode by pressing the F key. However, to fire again, you'll need to wait until all turrets have ceased firing in the alternative fire mode. A long reload period will follow a switch in firing mode, after which the turrets will be able to fire in either standard or alternative fire mode again."
Mechanics,Alternative Torpedoes,"Two types of torpedoes that can be switched between in battle. The torpedoes differ by various parameters such as range, speed, and damage.

Switching to alternative torpedoes takes an additional fixed amount of time that's separate from the reloading mechanic. Torpedo launcher reloading is suspended while switching between torpedo types and then resumes immediately after. "
Mechanics,Combat Instructions,"Combat Instructions grant a temporary boost to the ships' characteristics in battle. To activate the bonus, you need to fill a special meter by carrying out ""adjustment fire"" at any locked target—each turret salvo that hits a target or splashes near it is taken into account. Once the meter is filled, the bonus is activated by pressing the F key, which allows you to use the boost at the most optimal moment of your choosing.

Depending on the ship, activating this mode can change the characteristics of guns and shells.

If your ship ceases firing for some time, the progress of the adjustment fire meter gradually resets. However, progress won't decrease while the bonus is active or if the adjustment fire meter is already full. "
Mechanics,Tactical Squadrons,"The ships carry two types of squadrons: standard and tactical. While standard squadrons are a carrier's striking power that players are already familiar with, tactical squadrons constitute a new weapon.

Tactical squadrons on board the new supercarriers are composed of very fast jet-propelled aircraft. This feature allows them to quickly cover substantial distances and carry out lightning-fast attacks against enemy ships.

The specific characteristics of tactical squadrons depend on the ship."
Mechanics,Vehicles: ship upgrades,"Each ship can be upgraded with additional equipment. These upgrades are sets of special engineering solutions that improve various characteristics of ships.

Upgrades improve the combat characteristics of various ship systems.

There are different types of upgrades that improve the characteristics and HP of combat modules—for example, upgrades for main armaments, secondary battery guns, or air groups. Upgrades coupled with properly chosen Commander skills can significantly improve certain ship characteristics.

Players who have reached Service Record Level 11 can install upgrades.

Upgrade types:
The following types of upgrades exist:

Standard. Available to all players for Credits in the corresponding tab in the Port.
Special. Can be purchased in the Armory for Coal.
Unique. Can be obtained in the Research Bureau category of the Armory for Research Points. Unique upgrades can only be used on certain Tier X ships. If you sell a unique upgrade, you can restore it later by following this guide (https://na.wargaming.net/support/en/products/wows/article/22943/).
"
Mechanics,What Are Ranked Battles and How to Play Them?,"Ranked Battles are a special competitive battle type where players fight against each other in two-team battles, advance through ranks in leagues, and earn valuable rewards. The battle type is available from Access Level 16.

Ranked Battles are divided into seasons. Ranked Battles seasons are held on a regular basis with short breaks between each one. This means that you can choose between Random, Co-op, and Ranked Battles, as the latter battle type is almost regularly available.

To switch to the Ranked Battles mode, click the ""Select battle type"" inscription to the right of the ""Battle!"" button in the Port.
 
Then select ""Ranked Battle"" on the battle-type screen that opens."
Mechanics,How to Participate in Ranked Battles,"The structure and rules of Ranked Battles may differ depending on the season. More information about the Ranked Battles season rules can be found in a Wiki article (https://wiki.wargaming.net/en/Ship:Ranked_Battles?_gl=1*1vqu3h2*_gcl_au*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*FPAU*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*_ga*MTIzMTg5NDA3Ny4xNzA3NDI0NTA4*_ga_BWRKLL4HR5*MTcxNDY1OTQ2Ni4xNS4xLjE3MTQ2NTk2MzUuMC4wLjE1Mjc4MjE1MTc.*_fplc*YUR3bE1DRlJJTDFQUSUyQk9aRDhKaEg2S2ZTS0RmNVZsZmQlMkJTdEp0Q0tnZ2NISXQ4SW9BSGpUS1hSS0RzMWJLZyUyRmNsU0NEeUt0eWh2a2NHeEdpb3A4QjZ3aHY4S0NHWVRHRFpTcTk1Y1JJdnBQZ3Fxc3BBMkVIZWxPcSUyRkRlM3clM0QlM0Q.&_ga=2.161747966.317960896.1714659473-1231894077.1707424508).

There are also common rules for all Ranked Battles seasons:

Divisions aren't allowed in Ranked Battles.
Season achievements aren't inherited from previous Ranked seasons and won’t transfer to those that follow."
Mechanics,Ranked Seasons and Sprints,"Ranked Battles are held in the format of seasons with short breaks between them.

Each season is divided into several Sprints.

The Sprint is the main time frame in a Ranked Battles season, and its duration is determined by the rules of the current season (usually a week or two).

Within each Sprint, a player can reach Rank 1 in their current league and qualify for the next league. If a player qualifies, they will start the next Sprint from the lowest rank of the next league. If a player fails to qualify, their progress will be reset and they will start the next Sprint at the lowest rank of their current league.

There are no qualifications in the highest league. This means that progress resets with the start of each new Sprint, even if Rank 1 was achieved."
Mechanics,Ranked Stars and Ranks,"Progress in Ranked Battles involves moving from one league to another. To do so, you need to earn Ranked Stars. These Stars earned allow you to attain new ranks and qualify for the next league.

A Star is awarded for a victory and deducted for a loss or a draw; however, a Star can be kept in a lost battle if you take first place in your team in terms of the battle results (relevant for some leagues only).

Ranks are divided into revocable and irrevocable types. When losing a Star, a revocable rank will be lost. You cannot lose an irrevocable rank. Irrevocable ranks are visually highlighted with a special color fill inside the emblem."
Mechanics,Ranked Qualification,"Qualification is a special rank that unlocks after reaching Rank 1 in the current league (except for the highest league). Qualification battles involve those who are trying to qualify for the higher league and players of that higher league.

These battles are fought according to the rules of the higher league. "
Mechanics,Ranked Rewards,"You can earn various rewards for participating in Ranked Battles: Coal, Steel, expendable camouflages, Doubloons, commemorative flags, Ranked Tokens, etc. Rewards are given for:

A certain number of victories in a league
Reaching Rank 1 in a league
Qualifying for the next league
Rewards are refreshed every Sprint and can be earned repeatedly.

The final reward for participating in a Ranked Battles season is a Ranked Token. Ranked Tokens can be exchanged in the Armory for stylish permanent camouflages."
