category,question,answer
Missions & Events,Birthday Gifts: FAQ,"30 of September 2021 we launched the Player Birthday campaign and here are the answers to some frequently asked questions.

""I didn't get any gifts!""
Please check if all conditions are met:

your date of birth is specified on the Account Management page
your account is linked to your email address and confirmed
you gave us permission to send you letters
you played at least 1 WoWS battle in the last 365 days
Also please note that you can only get gifts after getting a B-day email, so if you haven't received the email, you won't get a gift.
All conditions are met, but I still don't get the B-day email!
Our email service processes data once a day. If you set the date of birth in your profile today, you will get the email no earlier than the next day.

I got my social network profile linked to my WG account and my date of birth on the Account Management page is set from the social network profile, can I get presents?
Yes, if you link and confirm your email and agree to receive emails from us. On your Birthday you will receive the email and will get your gifts in the game.

Please note that no player can get more than 1 gift in 365 days."
Missions & Events,"I was extremely close to completing a mission when the time limit was reached, can I get the reward anyway?","We know that situations like this can feel tough, especially after you have dedicated time to the game and when you want to get as much as possible from our special offers and contests.

Unfortunately, Player Support is unable to assist with this specific topic, as the time limits of all missions are set in stone.

Making any exceptions in such situations would be unfair to those players who were able to achieve all the necessary goals in time and won the reward in this way.

Do note that when you are close to the end of the time limit for a particular combat mission, it is the finish time of the battle, not the start time, that determines whether the results can be counted toward completing that mission."
Clans,Clan: Self-Service Clan Authority Delegation,"Follow the steps below:
Click your Clan name tab on the top menu
Click Clan members on the side menu
Right-click on the member whose rank you would like to change. A drop-down menu appears.
Click Modify Position.
Select the new position.
Click Modify.
Only Commanders and Deputy Commanders can modify other member's positions. Only Clan Commanders can delegate the Clan leadership to another member."
Clans,Player Support-assisted Clan Authority Delegation,"Player Support can change the Clan leadership to another Clan member, when the following criteria are met:

The Clan leader has been permanently banned from the game.
The Clan leadership was delegated by mistake (the former leader must submit a ticket within 24 hours!)"
Clans,How to change the Clan name and tag,"Important rules
Before changing the Clan name and tag, read the Clan Rules (https://legal.na.wargaming.net/en/game-rules-wows/?_gl=1*1gh9nzz*_gcl_au*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*FPAU*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*_ga*MTIzMTg5NDA3Ny4xNzA3NDI0NTA4*_ga_BWRKLL4HR5*MTcxNDY1OTQ2Ni4xNS4xLjE3MTQ2NTk5ODYuMC4wLjE1Mjc4MjE1MTc.*_fplc*YUR3bE1DRlJJTDFQUSUyQk9aRDhKaEg2S2ZTS0RmNVZsZmQlMkJTdEp0Q0tnZ2NISXQ4SW9BSGpUS1hSS0RzMWJLZyUyRmNsU0NEeUt0eWh2a2NHeEdpb3A4QjZ3aHY4S0NHWVRHRFpTcTk1Y1JJdnBQZ3Fxc3BBMkVIZWxPcSUyRkRlM3clM0QlM0Q.&_ga=2.223575129.317960896.1714659473-1231894077.1707424508). Choose a Clan name and tag that do not violate the Rules.
Changing the Clan name and tag costs2,500 Doubloons. For this amount, you can change both the name and tag or just one of the attributes of your choice.
Only the Clan Commander and Deputy Commander can change the Clan name and tag. The Doubloons are withdrawn from the account of the player who performs this operation.
To change the Clan name and tag:
Open the ""Clans"" tab while in the Port.
Left-click on the Clan name and select ""Edit Clan Name and Tag.""
Make the necessary edits. If the name and tag you choose are taken, the system will notify you about that.
*The disbanded Clan name and tag will remain locked and cannot be used.
Click ""Save"" and confirm the operation. 2,500 Doubloons will be withdrawn from your accoun"
Clans,Clan: How to Leave,"To leave a Clan:
While in the Port, open the Clans tab.

Left-click on the Clan name and select ""Leave Clan"" from the menu that appears.

Please note: After leaving a Clan, you will not be able to perform any actions relating to Clans for a period of 3 days."
Clans,Clan: Positions,"After the Clan is created, the Commander can appoint Clanmates to various positions.

After being appointed to a position, apart from the responsibility, the Clanmate gains the possibility to perform various actions. These could include excluding players from the Clan, allocating Treasury resources, accepting applications to join the Clan, and so forth.

"
Clans,Clan: Commander,"Permissions and actions available to Commanders in a Clan:

Perform Clan search
Invite new players to the Clan
Accept new players who sent requests to join the Clan
Change the Clanmate position to any, except for Commander
Change Clan's Preferences
Exclude players from the Clan
Edit Clan name (for 2,500 Doubloons), as well as its description and tag
Build Naval Base facilities
Gather teams for Clan Battles and take part in them
Leave the Clan with a mandatory delegation of position to another player
Register the Clan for the Naval Battle
Allocate Clan resources"
Clans,Clan: Deputy Commander,"Permissions and actions available to Depuity Commanders in a Clan:

Perform Clan search
Invite new players to the Clan
Accept new players who sent requests to join the Clan
Exclude players from the Clan
Edit Clan name (for 2,500 Doubloons), as well as its description and tag
Modify the position of a Clanmate to any, except for Commander or Deputy Commander
Build Naval Base facilities
Gather teams for Clan Battles and take part in them
Leave the Clan
Register the Clan for the Naval Battle
Allocate Clan resources"
Clans,Clan: Recruiter,"Permissions and actions available to Recruiters in a Clan:

	
Perform Clan search
Invite new players to the Clan
Accept new players who sent requests to join the Clan
Gather teams for Clan Battles and take part in them
Leave the Clan"
Clans,"Clan: Line Officer, Commissioned Officer, Midshipman (common positions)","Permissions and actions available to common positions in a Clan:

Perform Clan search
Take part in Clan Battles
Leave the Clan"
Clans,Clan: Changing positions,"Players' positions in the Clan can be changed only by the entitled officers—Commander and Deputy Commander. They are able to:

Demote a player who is inferior in position
Promote a player who is inferior in position, but not to a superior position than the play who is doing the promoting
To change the player's position in the Clan:
Log in to the game.
Open the Clans tab located next to the ""Profile"" tab in the top pane of the Port.
Select the player you need among your Clanmates and mark them in the first column. To change the positions of several players simultaneously, mark them all. The button below the table will become active.
Click ""Modify Position.""
In the window that appears, select the position that you would like to appoint the Clanmate to.
Click ""Modify."" The Clanmate you selected will receive the new position and corresponding permissions.
If you're a Commander and would like to leave your position, you need to delegate authority to another Clanmate.

According to the Game and Clan Rules (https://legal.na.wargaming.net/en/game-rules-wows/?_gl=1*1s40rwo*_gcl_au*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*FPAU*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*_ga*MTIzMTg5NDA3Ny4xNzA3NDI0NTA4*_ga_BWRKLL4HR5*MTcxNDY1OTQ2Ni4xNS4xLjE3MTQ2NjAwNTEuMC4wLjE1Mjc4MjE1MTc.*_fplc*YUR3bE1DRlJJTDFQUSUyQk9aRDhKaEg2S2ZTS0RmNVZsZmQlMkJTdEp0Q0tnZ2NISXQ4SW9BSGpUS1hSS0RzMWJLZyUyRmNsU0NEeUt0eWh2a2NHeEdpb3A4QjZ3aHY4S0NHWVRHRFpTcTk1Y1JJdnBQZ3Fxc3BBMkVIZWxPcSUyRkRlM3clM0QlM0Q.&_ga=2.132853964.317960896.1714659473-1231894077.1707424508) for World of Warships:

Game Administration does not intervene in players' Clan activities.
Any complaints related to conflicts inside a Clan (including questions related to the Clan Treasury) will not be considered by the Administration.
The responsibility for any conflict resolution lies with the Commanders, Deputy Commanders, and other authorized Clanmates.
By appointing Clanmates to the position of Deputy Commander or other positions, the Commander confirms their trust in them. Regular Clanmates, in their turn, accept the Clan Rules by joining it."
Clans,Clans: How to join them,"A Clan is a community of players that has been created for the purpose of playing together. There are two ways in which you can join one:
Send an application
Receive an invitation from the Clan

To submit an application:
If you've reached Account Level 17, the ""Clans"" tab will appear in the top pane of the Port next to the ""Profile"" tab.

Find a Clan. There are two ways to do that—manually and automatically.

To find a Clan manually:
Enter the Clan name or tag in the search bar.
Left-click the name of the Clan you need in the search results. The Clan's page will open.
Click ""Join Clan."" The Clan you applied to will receive your application.


To use automatic search:
Click ""Join a Clan"" or navigate to the ""Recommendations"" tab.
Specify your preferences.
Select a Clan from the list and click ""Send application.""


If you decide to join another Clan, you need to leave the Clan you're currently in first. Please note: After you leave a Clan, you will not be able to use the Clan features for 3 days."
Clans,Naval Battles: Quick Guide,"Under the Naval Battle section of the Clan tab, your Clan's Commander or Deputy Commander can opt in your Clan for the week. They can check the box beneath the button to automatically opt into future weeks.

The Naval Battle is held every week and consists of two stages. The Preparation stage runs from Monday through Thursday. The Engagement stage spans Friday through Sunday. To earn the right to compete against your opponents, your Clan has to complete a special mission during the Preparation stage.

Clans from all servers that complete the combat mission during the Preparation stage compete against other Clans from Friday through Sunday.

Clan vs. Clan is the standard format for the Engagement stage. A group format was added in Update 0.10.10. Starting from Update 0.10.11, the standard format of the Engagement stage is replaced by the group format every 4 weeks. Clans are randomly divided between several groups of 25 or 50 Clans each, and they compete against each other within the group according to the same rules that apply in a Clan vs. Clan format.

The Clan objective in a group format is to earn as many Stars as possible for completing missions from a table and take a higher place in the group.

A table will display the types and nations of ships that can be helmed into battle:
 
NOTE: During the Engagement stage, you need to have  ""Count Attempts"" enabled in the Naval Battle section for your progress to count toward your Clan's missions! Fight wisely—you only have a limited number of attempts to complete the mission.

Naval Battles may grant bonus Stars for clearing bars for randomly selected ship types/nations. More info about bonus Stars is available in the Naval Battle tab.

Oil is the main reward for the Naval Battle competition. It's earned by all participating Clans, depending on their level of activity."
"Install, launch, and game update",How to install the game,"Before installation
Make sure your PC meets the system requirements.
Make sure there's enough disk space. During the installation process, you'll need ~90.3 GB of space. After the installation, when the temporary files are deleted, game client will take ~60.9 GB on your drive.

Installation via the Wargaming Game Center
Make sure your PC meets the WGC system requirements.
Download and install the WGC installer.
Launch the WGC and log in to it.
In the ""All Games"" tab, select the game you're interested in and click it.
The game installation window will open. Here you can select:
Your region
Game language
Client type
Game folder
To continue the installation process, read the License Agreement and Privacy Policy. If you accept them, check the corresponding box and clickInstall.
The ""World of Warships"" tab will appear in the WGC, and the installation process will begin.
If you launch one of the Wargaming games during the installation process, it will stop. You can resume it manually by clicking the corresponding button.
If you do not resume it manually, it will continue automatically when you exit the game.
You can always pause the installation or update process and resume it at a time that suits you.
After the installation or update, you'll see the ""You are running the latest game version"" message, as well as the version number. The ""Play"" button will also become available.
For some games, additional launch options are available. If there's an arrow on the right side of the ""Play"" button, click it to see possible launch options and their 
You can learn more about additional WGC settings and the other possibilities it offers in a special section (https://na.wargaming.net/support/en/products/wgc/) of our Knowledge Base."
"Install, launch, and game update",Mods problems: launch in safe mode,"World of Warships can be customized with mods. However, mods can malfunction, especially after an update or patch.

Should a modded game misbehave, do the following:
Make sure all your mods are up to date.
Start the game in Safe Mode (without mods).
Delete all mods.
Mods folder: World_of_Warships\bin\3052606\res_mods\
Accounts using unfair mods or unauthorized third-party software will receive a penalty.
If you are in doubt as to whether any modification is a cheat or not, visit the Mod Policy (https://worldofwarships.com/en/news/general-news/mod-ern-parts/?_gl=1*shnuo*_gcl_au*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*FPAU*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*_ga*MTIzMTg5NDA3Ny4xNzA3NDI0NTA4*_ga_BWRKLL4HR5*MTcxNDY1OTQ2Ni4xNS4xLjE3MTQ2NjA4MDIuMC4wLjE1Mjc4MjE1MTc.*_fplc*YUR3bE1DRlJJTDFQUSUyQk9aRDhKaEg2S2ZTS0RmNVZsZmQlMkJTdEp0Q0tnZ2NISXQ4SW9BSGpUS1hSS0RzMWJLZyUyRmNsU0NEeUt0eWh2a2NHeEdpb3A4QjZ3aHY4S0NHWVRHRFpTcTk1Y1JJdnBQZ3Fxc3BBMkVIZWxPcSUyRkRlM3clM0QlM0Q.)."
Network settings,Cookies and Their Use,"What are cookies and what are they used for?

A cookie is a small piece of data sent by a web server and stored on your computer. Every time your web browser tries to open a page of a desired website, it sends this piece of data to the web server as part of an HTTP request.

Cookies are commonly used for:

User authentication
Storage of personal preferences and user settings
Tracking the status of a user's access session
User statistics
While cookies don't directly identify you, you can still opt out of their use. However, you should understand that blocking certain types of cookies may affect your website experience and limit your ability to use some websites.

How to return the display of cookie settings on our website

When you first visit the website of our game or Player Support, you'll see a panel with information about cookies at the bottom of the screen, as well as the option to enable or disable their use.

Once you've selected the desired action, the panel is no longer displayed. However, a situation may arise where you want to return the display of your cookie settings.

To do so, you need to delete the cookies for the worldofwarships.na website in your browser."
Network settings,DNS server address is not found,"If you're unable to update or install World of Tanks, you may be encountering a DNS issue from your Internet service provider (ISP). This article will help you to address these issues.  

For World of Tanks: dl-wot-gc.wargaming.net
Flush your DNS Cache
Try changing your DNS server to Google Public DNS
Before you change your DNS settings to use Google Public DNS, be sure to write down the current server addresses or settings. It is very important that you keep these numbers for backup purposes, in case you need to revert to them at any time.

Google Public DNS IP addresses:
The Google Public DNS IP addresses (IPv4) are as follows:

8.8.8.8
8.8.4.4
The Google Public DNS IPv6 addresses are as follows:

2001:4860:4860::8888
2001:4860:4860::8844
You can use either address as your primary or secondary DNS server. You can specify both addresses, but do not specify the same address as both primary and secondary.

You can configure Google Public DNS addresses for either IPv4 or IPv6 connections, or both. For IPv6-only networks with a NAT64 gateway using the 64:ff9b::/96 prefix, you can use Google Public DNS64 instead of Google Public DNS IPv6 addresses, providing connectivity to IPv4-only services without any other configuration.

Some devices use separate fields for all eight parts of IPv6 addresses and cannot accept the :: IPv6 abbreviation syntax. For such fields enter:

2001:4860:4860:0:0:0:0:8888
2001:4860:4860:0:0:0:0:8844
Windows:
The instructions may differ between different versions/releases of each operating system, we will only give one version as an example. If you need specific instructions for your operating system/version, please consult your vendor's documentation
Example: Windows 7

Go to the Control Panel
Click Network and Internet -> Network and Sharing Center -> Change Adapter Settings
Select the connection for which you want to configure Google Public DNS. For example:
To change the settings for an Ethernet connection, right-click Local Area Connection -> Properties
To change the settings for a wireless connection, right-click Wireless Network Connection -> Properties
Select the Networking tab. Select Internet Protocol Version 4 (TCP/IPv4) or Internet Protocol Version 6 (TCP/IPv6) and then click Properties
Click Advanced and select the DNS tab. If there are any DNS server IP addresses listed there, write them down for future reference, and remove them from this window
Click OK
Select ""Use the following DNS server addresses"". If there are any IP addresses listed in the Preferred DNS server or Alternate DNS server, write them down for future reference
Replace those addresses with the IP addresses of the Google DNS servers:
For IPv4: 8.8.8.8 and/or 8.8.4.4.
For IPv6: 2001:4860:4860::8888 and/or 2001:4860:4860::8844.
For IPv6-only: you can use Google Public DNS64 instead of the IPv6 addresses in the previous point
Restart the connection you selected in step 3
Test that your setup is working correctly
Repeat the procedure for additional network connections that you want to change"
Network settings,How can I check my connection using Wireshark?,"Wireshark is a popular network protocol analyzer. You can use it to check your internet connection in case of problems with authorization, or if you get randomly kicked out of battle, or if you experience other technical issues.

To check your connection, follow the instructions below:

Download Wireshark from the official website (https://www.wireshark.org/#download) and install it.
Launch Wireshark. In the main window of the program, select the connection for packet capturing and click ""Capture.""
In the window that opens, click ""Start."" The program will start capturing all packets for your selected connection.
Launch the game client. If you have encountered a problem with authorization, or the game has disconnected from the servers, or if you have been randomly kicked out of battle, then stop the capture. To do that, click on the red button in the top-left corner of the Wireshark window.
To save the captured data, navigate to the ""File"" menu and click the ""Save"" button. The program will also prompt you to save any captured data if you suspend capture and then decide to resume it.
After clicking the ""Save"" button, select where you want the data file to be saved and give it a name.
To resume packet capturing, click the blue button in the top-left corner of the Wireshark window.
When submitting a ticket to Player Support, please include the following information:
The type of your internet connection.
Whether you are on a fixed line or mobile internet connection.
Your internet service provider or mobile network operator.
Your place of residence (city/town).
The file with data captured using Wireshark should be attached to your ticket (https://ru.wargaming.net/support/ru/products/wows/article/21791/?_gl=1*13l5nkc*_gcl_au*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*FPAU*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*_ga*MTIzMTg5NDA3Ny4xNzA3NDI0NTA4*_ga_BWRKLL4HR5*MTcxNDY1OTQ2Ni4xNS4xLjE3MTQ2NjA5NjkuMC4wLjE1Mjc4MjE1MTc.*_fplc*YUR3bE1DRlJJTDFQUSUyQk9aRDhKaEg2S2ZTS0RmNVZsZmQlMkJTdEp0Q0tnZ2NISXQ4SW9BSGpUS1hSS0RzMWJLZyUyRmNsU0NEeUt0eWh2a2NHeEdpb3A4QjZ3aHY4S0NHWVRHRFpTcTk1Y1JJdnBQZ3Fxc3BBMkVIZWxPcSUyRkRlM3clM0QlM0Q.&_ga=2.190077929.317960896.1714659473-1231894077.1707424508)."
Network settings,Opening ports in Windows Firewall,"Before setting up Windows Firewall, make sure you have administrator rights.

To go to Firewall settings, click Start, open the Control Panel, then click Windows Firewall (or press Win + R, type firewall.cpl, and click ОК. This method works for all Windows versions and will suit those users who don't have the Start button in their version of Windows.)
Click Advanced Settings.
In the left column, click Inbound Rules.
In the right column, click New Rule.
In the pop-up window, select the Port rule and click Next.
Select the required protocol: TCP or UDP.
In the Specific local ports field, enter the required ports. If there are several ports, separate them with a comma or specify the port range using a dash. The list of required ports for World of Warships can be found here (https://ru.wargaming.net/support/kb/articles/666?_gl=1*1jcypua*_gcl_au*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*FPAU*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*_ga*MTIzMTg5NDA3Ny4xNzA3NDI0NTA4*_ga_BWRKLL4HR5*MTcxNDY1OTQ2Ni4xNS4xLjE3MTQ2NjEwMjguMC4wLjE1Mjc4MjE1MTc.*_fplc*YUR3bE1DRlJJTDFQUSUyQk9aRDhKaEg2S2ZTS0RmNVZsZmQlMkJTdEp0Q0tnZ2NISXQ4SW9BSGpUS1hSS0RzMWJLZyUyRmNsU0NEeUt0eWh2a2NHeEdpb3A4QjZ3aHY4S0NHWVRHRFpTcTk1Y1JJdnBQZ3Fxc3BBMkVIZWxPcSUyRkRlM3clM0QlM0Q.&_ga=2.223640793.317960896.1714659473-1231894077.1707424508). After you have entered all ports, click Next.
Select Allow the connection and click Next.
Select the desired connection profiles and click Next.
Specify the name of the created rule and add a description, if necessary. Then click Finish to save the changes.
Similarly, create Outbound Rules by specifying the same port ranges as described in steps 4–10. "
Network settings,Pingplotter: connection check,"When WGCheck Network Diagnostics is unavailable, you may use a Pingplotter to generate a report and contact our Player Support team about a connection issue.

PingPlotter tests your network for high latency and packet loss and generates understandable reports.

How can I check my connection?
Download Pingplotter Free from HERE (https://www.pingplotter.com/products/free.html)
Please make sure no network-hungry programs are running
e.g. P2P torrent downloads, Skype, Web browser, etc.
Launch PingPlotter
Write the name of the game server in [Enter target name or IP]
Set [interval] to 10 seconds
Click [Play]
Let it run for at least 30 minutes and click [Pause] to check the results timeline
Share the results by pressing File > Share > Create Share Page.
Copy the link to this page into your reply.
Lastly, please go to www.whatismyip.com and send us your IP Address as displayed in the page.

The following are World of Warships Target Addresses for NA:
NA_1: login1.worldofwarships.com
NA_2: login2.worldofwarships.com"
Network settings,What can I do to resolve my connection issues?,"The most common causes of connection issues are firewalls or antivirus programs blocking access to our games.

Please try all these steps before contacting support.

Power Cycle Hardware:
Turn off and unplug all of your network devices. This includes all modem and/or network switches/routers - and if they have a battery, please remove the battery.
Turn off your computer.
Leave them all off for 30-40 seconds.
Turn all of your devices back on and give them a few minutes to initialize and update.
Clear your internet browser cache.
Flush DNS:
Press the windows key + R to open your run dialog (or start menu > run)
Enter the exact command: ipconfig /flushdns
Press enter
You must have administrative privileges to complete this action

Antivirus Exceptions:
Make sure that you have added the following executable(s) to your Antivirus program's exception/allowed list:

World of Tanks:
WorldOfTanks.exe
World of Warships:
WorldOfWarships.exe
World of Warplanes:
WorldOfWarplanes.exe
Firewall Exceptions:
Make sure that you have added the following executables to your Firewall's exception/allowed list:

World of Tanks:
WorldOfTanks.exe
World of Warships:
WorldOfWarships.exe
World of Warplanes:
WorldOfWarplanes.exe.
Admin Privileges:
Right click on the launcher for your game:
WorldOfTanks.exe for World of Tanks
WorldOfWarships.exe for World of Warships
WorldOfWarplanes.exe for World of Warplanes
Select Properties.
Navigate to the Compatibility Tab
Check ""Run as Administrator""
Click Apply and OK
Router Porting:
You may have to open some ports in order for the games to properly function. To configure your router you might use http://portforward.com/ as reference, it contains detailed info on how to set up ports on almost any router.

All destination UDP ports: 12000-43000, 5060, 5062, 3478, 3479,
TCP game ports: 2200, 80, 8080, 443, 5222, 5223, 5333, 3306, 8886, 5672, 15672
UDP voice chat ports: 12000-29999, 5060, 5062, 3478, 3479
If your issue still persists, please send us a PingPlotter report."
Diagnostics and computer settings,How to find your video card model,"Press Windows + R.
Write DxDiag and click OK.
Click the Display tab.
Your video card's name and manufacturer should appear.
Nvidia"
Diagnostics and computer settings,Nvidia: How to reset the driver settings,"Corrupted or wrong video card settings can affect the games performance and your computer's ability to display graphics correctly.

Follow these steps:
Right-click on your desktop and select NVIDIA Control Panel.
Go to 3D Settings > Manage 3D Settings.
On the upper-right corner, click Restore Defaults.
Click Yes."
Diagnostics and computer settings,Nvidia: How to download and install a new driver,"Before updating the Driver, it's recommended to uninstall the previous version first. This also applies when removing an older graphics card and replacing it with a newer card.

Follow these steps:
Visit Nvidia website (http://www.nvidia.com/drivers).
Select your video card name and your Operating System.
Press the button Search.
Download the driver.
Open the *.exe you just downloaded and follow the displayed steps to install.
Should you have a laptop with a special driver provided by your manufacturer, check the laptop model on your manufacturer's Driver Support section."
Diagnostics and computer settings,"Nvidia: How to perform a ""clean installation"" of a new driver","In some cases it is recommended to perform a ""clean installation"" of the driver. This will reset all the driver settings, which might help resolve your technical problem.

Follow these steps:
Visit Nvidia website (http://www.nvidia.com/drivers).
Select your video card name and your Operating System.
Press the button Search.
Download the driver.
Open the *.exe you just downloaded.
Accept the License Agreement.
In the installation options, select ""Custom installation"" (""Advanced options"") and click on the ""Next"" button.
In the custom installation options, check the ""Perform a clean installation"" box and click on the ""Next"" button.
After installation is complete, restart your computer.
Should you have a laptop with a special driver provided by your manufacturer, check the laptop model on your manufacturer's Driver Support section."
Diagnostics and computer settings,Nvidia: How to uninstall the driver,"Go into your Control Panel
Double-click the Add/Remove Programs icon
Select the NVIDIA Windows Display Drivers from the list of programs.
Click Change/Remove or Add/Remove button.
Confirm with Windows that you wish to continue with the uninstall
More information on Nvidia website (https://nvidia.custhelp.com/app/answers/detail/a_id/10/~/how-do-i-uninstall-my-nvidia-display-drivers-on-a-microsoft-windows-based-pc%3F)."
Diagnostics and computer settings,AMD/ATI: How to reset the driver settings,"Corrupted or wrong video card settings can affect the games performance and your computer's ability to display graphics correctly.
Follow these steps:
Right-click on your desktop and select AMD Radeon Settings.
Old video cards will display Catalyst Control Center
Click the Preferences tab.
Select Restore Factory Defaults."
Diagnostics and computer settings,AMD/ATI: How to download and install a new driver,"Before updating the Driver, it's recommended to uninstall the previous version first. This also applies when removing an older graphics card and replacing it with a newer card.

Follow these steps:
Visit AMD/ATI (http://www.amd.com/drivers).
Select your video and your Operating System.
Press the button Display Results.
Download the driver.
Open the *.exe you just downloaded and follow the displayed steps to install.
Should you have a laptop with a special driver provided by your manufacturer, check the laptop model on your manufacturer's Driver Support section."
Diagnostics and computer settings,AMD/ATI: How to uninstall the driver,"Go into your Control Panel
Double-click the Add/Remove Programs icon
Select the AMD Catalyst Install Driver from the list of programs.
Click Change/Remove or Add/Remove button.
Confirm with Windows that you wish to continue with the uninstall
More information on AMD website (https://support.amd.com/en-us/kb-articles/Pages/GPU57RemoveOldGraphicsDrivers.aspx)."
Diagnostics and computer settings,Intel Driver:,Visit Intel Driver Support (https://downloadcenter.intel.com/product/80939/Graphics-Drivers).
Diagnostics and computer settings,"Blue Screen of Death (BSOD), PC crash or restart","A blue screen error (also called a stop error) can occur if a problem causes your device to shut down or restart unexpectedly.

It doesn't happen often, but there may be a time when something goes wrong and your device will display a black or blank screen. Some of the common scenarios that can cause this to occur are connection problems with your display, display adapter, driver update issues, or issues with recent updates or installations.

Potential solutions
Windows 10 https://support.microsoft.com/en-us/help/14238/
Windows 8 and 8.1 https://support.microsoft.com/en-us/help/17075/
Windows 7 https://support.microsoft.com/en-us/help/17074/

Find more help on the Microsoft Windows Support Portal (https://support.microsoft.com/en-us/products/windows?os=windows-10)."
Diagnostics and computer settings,"
Critical Error Occurred - Out of memory crash","Why this happens
World of Warships uses quite a bit of your Volatile memory, commonly called RAM.

x86 OS (Windows XP 32bit, Windows Vista 32bit, Windows 7 32bit), have a maximum allowed virtual address space for an application of 2 GB RAM.
x64 OS have a maximum allowed virtual address space for an application of 4 GB RAM.
Computers with a low amount of RAM available may face issues to run the game reliably.

How this happens
You start the game and it loads from your Hard Drive to your RAM.
You play a few battles and your RAM starts filling up.
Your Computer runs out of free RAM space and the game crashes.
About: Windows and Memory limits (https://msdn.microsoft.com/en-us/library/windows/desktop/aa366778(v=vs.85).aspx)
An error looking like ""BigWorld Client has encountered an unhandled exception and must close (EXCEPTION: 0xE06D763 @ 0x75DA845D) 0
How to resolve this issue
Verify your computer meets the minimum requirements (https://eu.wargaming.net/support/en/products/wows/articles/105/?_gl=1*1m1z7d0*_gcl_au*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*FPAU*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*_ga*MTIzMTg5NDA3Ny4xNzA3NDI0NTA4*_ga_X6LVGM3JP2*MTcxNDY5NDY0MS4xNS4xLjE3MTQ2OTQ3MzcuMC4wLjE4Njc1MDcyNDY.*_fplc*YUR3bE1DRlJJTDFQUSUyQk9aRDhKaEg2S2ZTS0RmNVZsZmQlMkJTdEp0Q0tnZ2NISXQ4SW9BSGpUS1hSS0RzMWJLZyUyRmNsU0NEeUt0eWh2a2NHeEdpb3A4QjZ3aHY4S0NHWVRHRFpTcTk1Y1JJdnBQZ3Fxc3BBMkVIZWxPcSUyRkRlM3clM0QlM0Q.*_ga_BWRKLL4HR5*MTcxNDY5NDY0MS4xNi4xLjE3MTQ2OTQ3MzcuMC4wLjE5MzAzNDE2MjA.&_ga=2.97580893.317960896.1714659473-1231894077.1707424508). See amount of RAM required.
Run the game in safe mode (https://eu.wargaming.net/support/en/products/wows/articles/67/?_gl=1*1m1z7d0*_gcl_au*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*FPAU*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*_ga*MTIzMTg5NDA3Ny4xNzA3NDI0NTA4*_ga_X6LVGM3JP2*MTcxNDY5NDY0MS4xNS4xLjE3MTQ2OTQ3MzcuMC4wLjE4Njc1MDcyNDY.*_fplc*YUR3bE1DRlJJTDFQUSUyQk9aRDhKaEg2S2ZTS0RmNVZsZmQlMkJTdEp0Q0tnZ2NISXQ4SW9BSGpUS1hSS0RzMWJLZyUyRmNsU0NEeUt0eWh2a2NHeEdpb3A4QjZ3aHY4S0NHWVRHRFpTcTk1Y1JJdnBQZ3Fxc3BBMkVIZWxPcSUyRkRlM3clM0QlM0Q.*_ga_BWRKLL4HR5*MTcxNDY5NDY0MS4xNi4xLjE3MTQ2OTQ3MzcuMC4wLjE5MzAzNDE2MjA.&_ga=2.97580893.317960896.1714659473-1231894077.1707424508), with no mods.
Should your computer have installed more than 3GB of RAM, you may want to consider an OS upgrade to x64
x86 / 32 bits OS can only allocate 2GB of RAM per active application. x64 can allocate 4GB.
Refer to an IT Specialist before upgrading your OS.
AT YOUR OWN RISK - Alternative Solutions
Guide based on: Microsoft 4GT Virtual address Tuning (https://msdn.microsoft.com/ru-ru/library/windows/desktop/bb613473(v=vs.85).aspx).

Increasing the virtual address space for the process on Windows 7, 8, 8.1, 10 x86
Run command line with administrator privileges:
Open Start menu and type cmd
Right click on the appeared cmd icon
Choose ""Run as administrator"".
Enter the following command in command line window:
bcdedit /set increaseuserva 3072
Reboot your computer.
Verify increase of virtual address space
Run command line with administrator privileges:
Open Start menu and type cmd,
Right click on the appeared cmd icon
Choose ""Run as administrator"".
Enter the following command in command line window:
bcdedit /enum | find ""increaseuserva""
If optimization flag exists you will be provided the following output:
increaseuserva 3072
Rollback increase of virtual address space
Run command line with administrator privileges:
Open Start menu and type cmd,
Right click on the appeared cmd icon
Choose ""Run as administrator"".
Enter the following command in command line window:
bcdedit /deletevalue increaseuserva
Reboot computer"